id_processo;id_cliente;nome_cliente;segmento;tipo_processo;valor_contrato;status;data_abertura;data_analise;data_aprovacao;data_emissao;dt_envio;data_recebimento;dt_pgto;data_liquidacao;data_vencimento;dt_cancel
PROC-0145;CLI-0055;Cliente 0055;PF;Leasing;127737.88;Liquidado;13/05/2024;17/05/2024;18/05/2024;21/05/2024;24/05/2024;27/05/2024;30/05/2024;31/05/2024;20/06/2024;
PROC-0146;CLI-0006;Cliente 0006;PF;Financiamento;13396.36;Em Análise;17/05/2024;22/05/2024;;;;;;;;
PROC-0147;CLI-0022;Cliente 0022;PF;Leasing;17500.86;Pago;24/06/2024;29/06/2024;02/07/2024;03/07/2024;05/07/2024;09/07/2024;14/07/2024;;02/08/2024;
PROC-0148;CLI-0029;Cliente 0029;PF;Leasing;68000.12;Pago;20/06/2024;24/06/2024;25/06/2024;27/06/2024;28/06/2024;05/07/2024;16/07/2024;;27/07/2024;
PROC-0149;CLI-0034;Cliente 0034;PF;Crédito Pessoal;70738.92;Em Análise;20/02/2024;25/02/2024;;;;;;;;
PROC-0150;CLI-0011;Cliente 0011;PF;Leasing;93280.7;Em Análise;03/04/2024;06/04/2024;08/04/2024;09/04/2024;13/04/2024;;;;09/05/2024;
PROC-0151;CLI-0003;Cliente 0003;PF;Consórcio;49847.06;Aguardando Pagamento;20/04/2024;21/04/2024;24/04/2024;25/04/2024;29/04/2024;06/05/2024;;;25/05/2024;
PROC-0152;CLI-0047;Cliente 0047;PF;Financiamento;112545.56;Em Análise;18/01/2024;19/01/2024;25/01/2024;;;;;;;
PROC-0153;CLI-0031;Empresa 0031;PJ;Consórcio;112395.44;Liquidado;19/06/2024;21/06/2024;26/06/2024;28/06/2024;02/07/2024;08/07/2024;14/07/2024;19/07/2024;28/07/2024;
PROC-0154;CLI-0001;Cliente 0001;PF;Consórcio;22319.24;Aguardando Pagamento;25/03/2024;28/03/2024;03/04/2024;06/04/2024;07/04/2024;15/04/2024;;;06/05/2024;
PROC-0155;CLI-0050;Cliente 0050;PF;Crédito Pessoal;107645.59;Liquidado;08/06/2024;10/06/2024;14/06/2024;16/06/2024;19/06/2024;22/06/2024;26/06/2024;27/06/2024;16/07/2024;
PROC-0156;CLI-0051;Empresa 0051;PJ;Crédito Pessoal;106717.44;Aguardando Pagamento;21/03/2024;26/03/2024;02/04/2024;04/04/2024;08/04/2024;16/04/2024;;;04/05/2024;
PROC-0157;CLI-0017;Empresa 0017;PJ;Crédito Pessoal;28755.73;Pago;18/06/2024;19/06/2024;23/06/2024;25/06/2024;28/06/2024;30/06/2024;10/07/2024;;25/07/2024;
PROC-0158;CLI-0037;Empresa 0037;PJ;Crédito Pessoal;143187.35;Liquidado;01/02/2024;06/02/2024;09/02/2024;10/02/2024;12/02/2024;17/02/2024;02/03/2024;03/03/2024;11/03/2024;
PROC-0159;CLI-0016;Cliente 0016;PF;Crédito Pessoal;80835.78;Em Análise;17/03/2024;18/03/2024;;;;;;;;
PROC-0160;CLI-0019;Empresa 0019;PJ;Financiamento;118533.13;Aguardando Pagamento;09/05/2024;12/05/2024;16/05/2024;19/05/2024;21/05/2024;24/05/2024;;;18/06/2024;
PROC-0161;CLI-0058;Cliente 0058;PF;Financiamento;109511.0;Liquidado;20/03/2024;24/03/2024;26/03/2024;28/03/2024;29/03/2024;06/04/2024;16/04/2024;19/04/2024;27/04/2024;
PROC-0162;CLI-0048;Cliente 0048;PF;Consórcio;29209.63;Liquidado;19/06/2024;21/06/2024;22/06/2024;25/06/2024;27/06/2024;29/06/2024;08/07/2024;09/07/2024;25/07/2024;
PROC-0163;CLI-0029;Cliente 0029;PF;Financiamento;23404.94;Em Análise;14/04/2024;19/04/2024;22/04/2024;24/04/2024;26/04/2024;;;;24/05/2024;
PROC-0164;CLI-0060;Cliente 0060;PF;Consórcio;118262.98;Liquidado;24/03/2024;26/03/2024;01/04/2024;04/04/2024;06/04/2024;08/04/2024;12/04/2024;16/04/2024;04/05/2024;
PROC-0165;CLI-0040;Cliente 0040;PF;Financiamento;43970.85;Liquidado;13/04/2024;18/04/2024;22/04/2024;25/04/2024;28/04/2024;02/05/2024;08/05/2024;13/05/2024;25/05/2024;
PROC-0166;CLI-0006;Cliente 0006;PF;Financiamento;133530.14;Liquidado;27/06/2024;29/06/2024;30/06/2024;02/07/2024;05/07/2024;12/07/2024;27/07/2024;29/07/2024;01/08/2024;
PROC-0167;CLI-0027;Cliente 0027;PF;Leasing;116857.39;Aguardando Pagamento;16/03/2024;18/03/2024;25/03/2024;28/03/2024;31/03/2024;05/04/2024;;;27/04/2024;
PROC-0168;CLI-0043;Cliente 0043;PF;Leasing;9256.66;Liquidado;21/05/2024;23/05/2024;29/05/2024;31/05/2024;03/06/2024;06/06/2024;18/06/2024;20/06/2024;30/06/2024;
PROC-0169;CLI-0038;Cliente 0038;PF;Consórcio;122030.64;Aguardando Pagamento;02/02/2024;07/02/2024;13/02/2024;16/02/2024;17/02/2024;22/02/2024;;;17/03/2024;
PROC-0170;CLI-0037;Empresa 0037;PJ;Crédito Pessoal;44437.19;Liquidado;19/02/2024;24/02/2024;25/02/2024;27/02/2024;29/02/2024;08/03/2024;16/03/2024;18/03/2024;28/03/2024;
PROC-0171;CLI-0034;Cliente 0034;PF;Leasing;14261.44;Cancelado;17/04/2024;21/04/2024;;;;;;;;20/04/2024
PROC-0172;CLI-0021;Cliente 0021;PF;Leasing;108286.87;Pago;19/06/2024;22/06/2024;24/06/2024;27/06/2024;29/06/2024;02/07/2024;14/07/2024;;27/07/2024;
PROC-0173;CLI-0060;Cliente 0060;PF;Leasing;88614.49;Liquidado;07/04/2024;10/04/2024;12/04/2024;14/04/2024;17/04/2024;24/04/2024;28/04/2024;02/05/2024;14/05/2024;
PROC-0174;CLI-0017;Empresa 0017;PJ;Leasing;16175.15;Em Análise;22/06/2024;26/06/2024;;;;;;;;
PROC-0175;CLI-0014;Cliente 0014;PF;Leasing;71003.68;Pago;14/02/2024;19/02/2024;21/02/2024;24/02/2024;25/02/2024;28/02/2024;03/03/2024;;25/03/2024;
PROC-0176;CLI-0043;Cliente 0043;PF;Crédito Pessoal;57217.96;Em Análise;06/06/2024;10/06/2024;17/06/2024;18/06/2024;19/06/2024;;;;18/07/2024;
PROC-0177;CLI-0046;Cliente 0046;PF;Leasing;77443.45;Pago;25/05/2024;30/05/2024;02/06/2024;05/06/2024;08/06/2024;12/06/2024;25/06/2024;;05/07/2024;
PROC-0178;CLI-0021;Cliente 0021;PF;Crédito Pessoal;87198.49;Liquidado;18/03/2024;19/03/2024;26/03/2024;29/03/2024;02/04/2024;10/04/2024;18/04/2024;21/04/2024;28/04/2024;
PROC-0179;CLI-0016;Cliente 0016;PF;Consórcio;58314.73;Liquidado;13/04/2024;18/04/2024;19/04/2024;22/04/2024;23/04/2024;29/04/2024;05/05/2024;06/05/2024;22/05/2024;
PROC-0180;CLI-0017;Empresa 0017;PJ;Leasing;41991.83;Liquidado;20/05/2024;21/05/2024;23/05/2024;25/05/2024;28/05/2024;02/06/2024;08/06/2024;10/06/2024;24/06/2024;
PROC-0181;CLI-0026;Cliente 0026;PF;Leasing;19921.21;Em Análise;01/01/2024;04/01/2024;09/01/2024;;;;;;;
PROC-0182;CLI-0009;Empresa 0009;PJ;Consórcio;88217.28;Liquidado;18/03/2024;20/03/2024;22/03/2024;23/03/2024;26/03/2024;01/04/2024;09/04/2024;13/04/2024;22/04/2024;
PROC-0183;CLI-0043;Cliente 0043;PF;Financiamento;109802.86;Cancelado;14/03/2024;18/03/2024;;;;;;;;02/04/2024
PROC-0184;CLI-0042;Cliente 0042;PF;Consórcio;38118.64;Liquidado;23/02/2024;25/02/2024;27/02/2024;29/02/2024;04/03/2024;09/03/2024;22/03/2024;24/03/2024;30/03/2024;
PROC-0185;CLI-0020;Cliente 0020;PF;Financiamento;78779.61;Em Análise;20/04/2024;24/04/2024;;;;;;;;
PROC-0186;CLI-0030;Cliente 0030;PF;Financiamento;11385.5;Liquidado;28/05/2024;01/06/2024;03/06/2024;04/06/2024;05/06/2024;08/06/2024;16/06/2024;18/06/2024;04/07/2024;
PROC-0187;CLI-0021;Cliente 0021;PF;Financiamento;130124.63;Liquidado;04/06/2024;08/06/2024;09/06/2024;11/06/2024;13/06/2024;18/06/2024;24/06/2024;28/06/2024;11/07/2024;
PROC-0188;CLI-0060;Cliente 0060;PF;Consórcio;40459.96;Liquidado;16/06/2024;19/06/2024;20/06/2024;21/06/2024;25/06/2024;28/06/2024;04/07/2024;09/07/2024;21/07/2024;
PROC-0189;CLI-0049;Cliente 0049;PF;Leasing;73405.87;Em Análise;23/03/2024;24/03/2024;;;;;;;;
PROC-0190;CLI-0060;Cliente 0060;PF;Crédito Pessoal;60532.02;Em Análise;29/04/2024;02/05/2024;03/05/2024;06/05/2024;09/05/2024;;;;05/06/2024;
PROC-0191;CLI-0005;Cliente 0005;PF;Consórcio;26762.28;Liquidado;23/04/2024;27/04/2024;01/05/2024;04/05/2024;07/05/2024;12/05/2024;13/05/2024;16/05/2024;03/06/2024;
PROC-0192;CLI-0001;Cliente 0001;PF;Financiamento;140018.21;Em Análise;23/04/2024;27/04/2024;30/04/2024;;;;;;;
PROC-0193;CLI-0030;Cliente 0030;PF;Leasing;129335.35;Liquidado;21/06/2024;26/06/2024;27/06/2024;30/06/2024;03/07/2024;07/07/2024;11/07/2024;15/07/2024;30/07/2024;
PROC-0194;CLI-0040;Cliente 0040;PF;Financiamento;85165.39;Liquidado;24/02/2024;25/02/2024;27/02/2024;29/02/2024;03/03/2024;10/03/2024;11/03/2024;16/03/2024;30/03/2024;
PROC-0195;CLI-0037;Empresa 0037;PJ;Leasing;137522.41;Pago;10/05/2024;13/05/2024;14/05/2024;15/05/2024;17/05/2024;21/05/2024;05/06/2024;;14/06/2024;
PROC-0196;CLI-0007;Cliente 0007;PF;Financiamento;112396.55;Liquidado;01/05/2024;05/05/2024;12/05/2024;15/05/2024;16/05/2024;23/05/2024;04/06/2024;06/06/2024;14/06/2024;
PROC-0197;CLI-0005;Cliente 0005;PF;Crédito Pessoal;65808.55;Liquidado;13/02/2024;14/02/2024;17/02/2024;18/02/2024;22/02/2024;29/02/2024;03/03/2024;05/03/2024;19/03/2024;
PROC-0198;CLI-0035;Cliente 0035;PF;Leasing;51661.29;Aguardando Pagamento;17/06/2024;22/06/2024;23/06/2024;24/06/2024;28/06/2024;02/07/2024;;;24/07/2024;
PROC-0199;CLI-0014;Cliente 0014;PF;Consórcio;65357.21;Cancelado;22/01/2024;23/01/2024;;;;;;;;31/01/2024
PROC-0200;CLI-0033;Cliente 0033;PF;Consórcio;109441.75;Liquidado;13/03/2024;16/03/2024;20/03/2024;23/03/2024;24/03/2024;31/03/2024;10/04/2024;13/04/2024;22/04/2024;
